,Unnamed: 0,client_id,province,transaction_method,card_type,amount(eur),time,possible_fraud,hour,mean_amount,std_amount,z_score
129,129,user_423,Madrid,Online,Mastercard,569.55,2024-05-04 04:27:39.601021083,Y,4,1700.7507142857141,1206.0942090226251,-0.9379041088360734
143,143,user_1195,Almería,Contactless,Visa,3860.58,2024-05-10 05:21:50.730831048,Y,5,2380.5617647058825,1497.7295228287853,0.9881745754058341
146,146,user_358,Castellón,Online,Mastercard,1836.48,2024-05-13 02:30:34.546657842,Y,2,2116.3673333333336,1351.6948002809904,-0.20706400089365629
149,149,user_1617,Madrid,Online,Visa,4616.38,2024-05-31 03:36:03.675900539,Y,3,2904.127857142857,1576.689238866237,1.085979469288689
169,169,user_474,Salamanca,Physical Card,Mastercard,4324.22,2024-05-10 03:27:53.555828684,Y,3,2582.696842105263,1786.1005767097236,0.9750420444423658
172,172,user_840,Las Palmas,Online,Mastercard,1131.33,2024-05-11 02:17:26.270208943,Y,2,2634.3307142857143,1384.0222199831703,-1.0859657399893412
173,173,user_1806,Cádiz,Online,Visa,1683.45,2024-05-22 03:43:24.783965207,Y,3,2463.1806666666666,1423.6466582360476,-0.5476995728931662
175,175,user_1560,Sevilla,Online,Mastercard,3037.22,2024-05-13 05:19:23.694809492,Y,5,2147.237894736842,1650.8535998371635,0.5391041975805387
184,184,user_549,Salamanca,Contactless,Visa,4373.47,2024-05-20 02:33:17.920015127,Y,2,2982.759,1288.024126779291,1.0797243398518304
195,195,user_1118,Madrid,Online,Visa,2872.91,2024-05-18 04:52:05.876902713,Y,4,2443.445,1613.827994380866,0.2661157208174227
197,197,user_1122,Santa Cruz de Tenerife,Online,Mastercard,3091.46,2024-05-13 02:47:27.461473007,Y,2,2044.6699999999998,1479.0193827350208,0.7077594872788369
206,206,user_620,Baleares,Contactless,Mastercard,4739.61,2024-05-17 04:31:48.745390942,Y,4,2253.79125,1242.3626570738782,2.000880126141926
213,213,user_122,Badajoz,Contactless,Mastercard,4934.25,2024-05-14 04:49:02.081875768,Y,4,2810.777857142857,1560.3365072966624,1.3609065306919805
228,228,user_729,Madrid,Physical Card,Visa,3946.7,2024-05-31 05:44:47.151366172,Y,5,2632.0873333333334,1408.3445079467629,0.9334453745151114
233,233,user_210,Alicante,Contactless,Visa,436.46,2024-05-14 03:47:50.265670795,Y,3,1504.886,1028.2277085743217,-1.0390947365943044
238,238,user_1537,Sevilla,Contactless,Visa,3548.11,2024-05-11 04:55:42.346601115,Y,4,2413.32,1173.891137797709,0.9666910017984588
243,243,user_1544,Barcelona,Online,Mastercard,1561.39,2024-05-13 04:56:10.936938640,Y,4,2786.9966666666664,1444.5253139626136,-0.8484494212874603
249,249,user_752,Valladolid,Physical Card,Visa,1519.8,2024-05-27 03:56:12.638744445,Y,3,2742.4936363636366,1664.2216580207862,-0.7346939817005825
252,252,user_932,Orense,Contactless,Mastercard,3897.05,2024-05-23 05:32:19.718256594,Y,5,2582.685625,1125.0292635658789,1.1682934991699745
274,274,user_281,Madrid,Online,Mastercard,4765.27,2024-05-17 02:06:12.355110144,Y,2,3029.4976923076924,1530.684328245343,1.1339845033117062
275,275,user_1309,Málaga,Online,Mastercard,2473.06,2024-05-16 02:21:47.667580599,Y,2,2957.5049999999997,1262.3480606069713,-0.38376499724415575
276,276,user_630,Málaga,Online,American Express,727.84,2024-05-18 05:13:12.020421669,Y,5,1976.464,1437.7994568327572,-0.8684270911817698
287,287,user_855,Murcia,Physical Card,Mastercard,4985.94,2024-05-04 06:32:09.847782925,Y,6,2757.1125,1458.571702392447,1.5280890862918342
289,289,user_744,Málaga,Online,Visa,1667.9,2024-05-22 05:28:55.501559988,Y,5,2551.54375,1344.53389310881,-0.657211956149988
291,291,user_1201,Alicante,Physical Card,Mastercard,143.89,2024-05-17 02:50:31.256499952,Y,2,2114.2799999999997,1565.141008803999,-1.2589217130702308
301,301,user_415,Badajoz,Contactless,Visa,2793.73,2024-05-30 02:46:13.943462229,Y,2,2458.7708333333335,1295.4488547250073,0.25856610660076607
317,317,user_1832,Valencia,Online,Mastercard,2216.79,2024-05-31 02:15:52.330528505,Y,2,2987.247058823529,1625.9082163892458,-0.4738625778855651
318,318,user_527,Cantabria,Physical Card,Mastercard,2695.04,2024-05-12 04:14:47.661907913,Y,4,2763.965,1342.8318316599555,-0.05132809513071926
320,320,user_1113,Alicante,Physical Card,Mastercard,1809.3,2024-05-23 05:04:53.731681951,Y,5,2751.2725,1014.2321464712672,-0.928754332306786
327,327,user_1947,Córdoba,Online,Visa,2024.49,2024-05-03 02:19:45.137562635,Y,2,1821.257142857143,1630.5498033741615,0.1246406928033104
329,329,user_535,Badajoz,Contactless,Visa,1319.61,2024-05-27 05:20:37.212820270,Y,5,3176.337,1659.6514792104863,-1.118745124056567
331,331,user_543,Cádiz,Contactless,Mastercard,4994.58,2024-05-13 18:20:11.005010872,Y,18,2496.3333333333335,1449.6679291479134,1.7233234014738033
333,333,user_1182,Baleares,Contactless,Mastercard,2314.24,2024-05-18 03:02:21.930604141,Y,3,2645.0950000000003,1470.0171106111227,-0.2250688087994131
334,334,user_212,Las Palmas,Online,American Express,957.79,2024-05-10 02:20:21.896568025,Y,2,2512.9075,1409.777464199903,-1.1030943106205646
339,339,user_1344,Málaga,Contactless,Mastercard,4987.34,2024-05-10 08:25:26.179445967,Y,8,2831.681111111111,1633.934734195681,1.3193053821394107
344,344,user_634,Guadalajara,Online,Visa,2649.79,2024-05-01 04:00:34.036116100,Y,4,1712.1831578947367,1163.3010594666112,0.8059881270418239
351,351,user_526,Vizcaya,Contactless,Visa,3393.23,2024-05-15 02:41:36.208754845,Y,2,2620.3433333333332,1337.5162063141295,0.5778521882710903
352,352,user_474,Las Palmas,Contactless,Mastercard,599.47,2024-05-04 02:52:41.955185780,Y,2,2582.696842105263,1786.1005767097236,-1.1103668337416233
362,362,user_992,Pontevedra,Physical Card,Visa,4101.09,2024-05-10 03:57:26.156755223,Y,3,2771.1744444444444,1585.9613615967373,0.8385548272226532
396,396,user_1440,Málaga,Online,Visa,2188.97,2024-05-28 04:43:55.756830859,Y,4,2321.0950000000003,738.7963431826122,-0.17883818892609546
403,403,user_207,Asturias,Online,Visa,4401.55,2024-05-30 03:55:52.217074785,Y,3,2428.55625,1598.4246442789643,1.2343364180861969
406,406,user_757,Granada,Online,Mastercard,4565.76,2024-05-06 04:34:28.034414295,Y,4,2753.245454545455,1528.3847775633178,1.185901987550682
408,408,user_577,Madrid,Online,Mastercard,3119.57,2024-05-28 03:17:24.568403139,Y,3,2647.4083333333333,1828.6566495809614,0.2582013779212534
417,417,user_1850,La Coruña,Physical Card,Visa,2948.24,2024-05-31 05:53:13.608773754,Y,5,2282.628947368421,1552.6269279546652,0.4286999282618482
425,425,user_1372,Guipúzcoa,Online,Visa,4032.17,2024-05-17 04:44:28.431502316,Y,4,2930.4572222222223,1628.8803249970265,0.6763620143670094
429,429,user_1300,Cáceres,Online,Visa,1185.91,2024-05-23 02:24:31.040937884,Y,2,1946.993333333333,1391.3043502651267,-0.5470286448743592
444,444,user_1632,Sevilla,Contactless,Mastercard,2690.6,2024-05-07 02:22:48.932589581,Y,2,3575.758333333333,806.2592967133259,-1.0978581418429967
446,446,user_1108,Zaragoza,Online,Visa,3140.16,2024-05-26 05:29:52.682235038,Y,5,2053.793333333333,1438.3007638703386,0.755312584096355
452,452,user_857,Pontevedra,Contactless,Mastercard,898.43,2024-05-10 02:37:14.811383189,Y,2,1947.649411764706,1724.5496518565021,-0.6084019736023294
453,453,user_997,Madrid,Online,Mastercard,378.58,2024-05-18 04:58:25.719958400,Y,4,2448.675,1570.1096785723814,-1.3184397423001872
454,454,user_579,Valencia,Online,Mastercard,3796.71,2024-05-08 03:59:04.180769594,Y,3,2438.0566666666664,1603.8053678880947,0.8471435253533417
456,456,user_1461,Tarragona,Physical Card,Mastercard,3661.54,2024-05-11 03:14:24.857710125,Y,3,2258.932,1469.7661611199696,0.9543069075227623
463,463,user_142,Málaga,Contactless,Mastercard,3770.02,2024-05-14 02:33:58.763354448,Y,2,3697.51,102.54462540767328,0.7071067811865441
466,466,user_1620,Guipúzcoa,Contactless,Mastercard,3605.24,2024-05-14 02:04:26.162427909,Y,2,2300.299,1346.88253069586,0.9688602905301688
472,472,user_261,Madrid,Online,Visa,813.35,2024-05-20 04:50:27.852888342,Y,4,1922.7818181818184,1940.307608261217,-0.571781409018966
473,473,user_540,Alicante,Contactless,Mastercard,2182.68,2024-05-16 05:59:08.945825848,Y,5,2023.0487500000002,1494.992650273461,0.10677728079184888
478,478,user_1435,Barcelona,Contactless,Visa,3004.3,2024-05-31 05:30:00.850902902,Y,5,2152.9750000000004,1106.0913149916694,0.769669726596137
481,481,user_386,Vizcaya,Online,Mastercard,3251.23,2024-05-14 05:03:48.382339037,Y,5,2954.456111111111,1380.3950693706531,0.21499199430217716
482,482,user_1954,Murcia,Online,Visa,4318.93,2024-05-21 02:47:15.208471211,Y,2,1954.5778947368424,1467.310343381836,1.6113510791546883
483,483,user_1261,Sevilla,Online,Visa,2205.21,2024-05-18 05:59:37.536163373,Y,5,2960.125,1067.611031438885,-0.7071067811865476
487,487,user_1458,Barcelona,Online,Mastercard,3877.83,2024-05-19 02:10:54.174151460,Y,2,2359.2614999999996,1571.4691044345634,0.9663368472944955
493,493,user_879,Sevilla,Online,Mastercard,4418.51,2024-05-03 02:07:05.451451262,Y,2,2718.1130000000003,1734.3425639260417,0.9804274169174519
498,498,user_463,Toledo,Contactless,Mastercard,4770.22,2024-05-14 02:10:46.005483596,Y,2,3195.06,1288.9957702542447,1.2220055614994856
499,499,user_819,Málaga,Contactless,Mastercard,2419.55,2024-05-26 04:13:54.565566795,Y,4,2432.8247368421053,1262.9605248663793,-0.010510808992632249
510,510,user_1079,Valencia,Contactless,Visa,1380.59,2024-05-16 02:00:41.524061643,Y,2,2342.137222222222,1335.5900719853933,-0.7199418761722708
539,539,user_254,Navarra,Contactless,Mastercard,450.38,2024-05-12 03:19:55.688758627,Y,3,2548.8959999999997,1771.6132133538629,-1.1845226622730325
546,546,user_947,Alicante,Online,Visa,3042.66,2024-05-25 02:24:59.631275408,Y,2,2467.4594117647057,1448.6394989112655,0.39706261541783855
547,547,user_230,Ciudad Real,Physical Card,Visa,2821.73,2024-05-25 02:31:19.474331095,Y,2,2566.8722222222223,1428.5377455441787,0.17840465089054663
552,552,user_159,Madrid,Physical Card,Mastercard,4005.39,2024-05-22 02:23:13.438593173,Y,2,2106.8815789473683,1254.3884374301604,1.5134932405324673
558,558,user_884,Orense,Online,Mastercard,1790.83,2024-05-21 02:05:02.921433298,Y,2,2645.435,1676.4512338025768,-0.5097702711349136
562,562,user_292,Almería,Online,Mastercard,4979.64,2024-05-27 20:40:41.070246762,Y,20,2117.9,1701.8820605215274,1.6815148748457012
570,570,user_526,Barcelona,Online,Visa,2067.65,2024-05-13 05:06:44.008698118,Y,5,2620.3433333333332,1337.5162063141295,-0.4132236534586912
575,575,user_148,Barcelona,Contactless,Mastercard,2043.49,2024-05-23 05:57:39.090479342,Y,5,2918.271111111111,1136.668801329719,-0.7696007052254434
578,578,user_8,Madrid,Physical Card,Mastercard,4970.57,2024-05-02 10:00:36.078283067,Y,10,2556.2916666666665,1418.0600656955924,1.7025219112626742
588,588,user_1409,Cádiz,Online,Mastercard,3749.54,2024-05-16 05:04:16.972676562,Y,5,2671.9791666666665,1349.2858179891002,0.7986156965165984
593,593,user_1948,Valladolid,Contactless,Mastercard,2395.43,2024-05-23 04:54:20.659922473,Y,4,2524.5187499999997,1623.0525100601337,-0.07953454937524922
596,596,user_338,Badajoz,Online,Visa,33.67,2024-05-21 03:21:01.038101541,Y,3,2565.2182352941177,1461.1738986523615,-1.7325441123941243
602,602,user_1953,Cádiz,Online,Mastercard,1871.52,2024-05-13 03:04:20.376288172,Y,3,2298.363157894737,965.6141875571712,-0.4420431714809129
608,608,user_1459,Álava,Online,Mastercard,451.48,2024-05-30 05:32:56.477261983,Y,5,2507.9675,1696.6311800721032,-1.2121004990092212
613,613,user_402,Vizcaya,Contactless,Mastercard,2358.8,2024-05-19 04:06:57.963505720,Y,4,2807.547777777778,1665.0554412449587,-0.2695092107216861
620,620,user_1483,Cádiz,Online,Visa,1522.48,2024-05-22 05:50:01.645078944,Y,5,1623.11125,1261.8312354379193,-0.0797501656115493
622,622,user_1327,Valencia,Physical Card,Mastercard,2118.41,2024-05-04 03:03:15.026945258,Y,3,2113.7554545454545,1466.172838913364,0.003174622616795284
633,633,user_1855,Valencia,Online,Mastercard,4970.42,2024-05-13 03:44:26.048974189,Y,3,2418.055263157895,1587.6970033226266,1.6075893142713542
635,635,user_634,Madrid,Online,Mastercard,552.82,2024-05-28 02:26:45.823957644,Y,2,1712.1831578947367,1163.3010594666112,-0.9966148904105011
637,637,user_103,Madrid,Online,Visa,4328.98,2024-05-23 02:18:11.197882197,Y,2,2842.036315789474,1395.0420517166838,1.0658773206017347
650,650,user_216,Valladolid,Online,Visa,4838.64,2024-05-11 03:54:30.530396142,Y,3,2127.458235294118,1531.1556492819211,1.7706767865026447
651,651,user_1297,Toledo,Contactless,Mastercard,102.64,2024-05-27 04:51:04.611893731,Y,4,2633.461176470588,1421.682274854698,-1.7801594781289993
653,653,user_1314,Córdoba,Online,Visa,3343.36,2024-05-11 02:08:59.812801361,Y,2,1634.091111111111,757.4917713157754,2.2564850914748042
655,655,user_41,Madrid,Contactless,Mastercard,2663.15,2024-05-28 05:32:27.886924458,Y,5,2906.442777777778,1213.2518525157943,-0.2005294921028035
663,663,user_682,Álava,Contactless,Visa,1941.14,2024-05-16 05:50:42.488418266,Y,5,1796.4792307692308,1437.535514259628,0.10063109244662648
666,666,user_106,Madrid,Physical Card,Mastercard,466.39,2024-05-29 03:03:55.870284579,Y,3,2662.9992307692305,1769.5849753235998,-1.2413132239481983
667,667,user_1716,Barcelona,Physical Card,Mastercard,3447.4,2024-05-22 03:30:45.097853833,Y,3,3046.7650000000003,1202.60452689153,0.3331394411391031
685,685,user_1929,Málaga,Online,Visa,4690.28,2024-05-14 03:49:56.880022690,Y,3,2829.6375,1417.7512641621356,1.3123899424625833
693,693,user_544,Granada,Physical Card,Visa,1766.98,2024-05-28 05:00:48.671646024,Y,5,3124.47,1354.2174973270232,-1.002416526650583
697,697,user_772,Madrid,Online,American Express,3484.47,2024-05-29 02:53:22.798525101,Y,2,2412.7025,2206.002349490665,0.4858415043154673
699,699,user_1923,Zaragoza,Contactless,Mastercard,3035.39,2024-05-26 02:43:10.148435284,Y,2,2783.179,1338.574559608923,0.1884175955605234
716,716,user_933,Zaragoza,Contactless,Mastercard,2898.39,2024-05-07 02:29:08.775645268,Y,2,2645.1511764705883,1680.38829413354,0.15070256345720934
719,719,user_97,Ceuta,Online,Visa,1990.35,2024-05-28 03:11:04.725347452,Y,3,2125.397777777778,1518.843430987406,-0.08891487761183071
721,721,user_1871,Badajoz,Online,American Express,4959.75,2024-05-24 02:23:42.028930698,Y,2,2110.9035,1438.1318722026156,1.9809355143744647
723,723,user_1535,Asturias,Online,Mastercard,2048.13,2024-05-22 04:21:23.842299328,Y,4,2724.9992307692305,1604.8092070319012,-0.4217755156210138
731,731,user_803,Navarra,Physical Card,Visa,2240.7,2024-05-02 03:30:12.423182376,Y,3,2738.858,746.5950941239838,-0.6672398518563978
740,740,user_1255,La Coruña,Online,Visa,4053.39,2024-05-15 03:28:01.724496549,Y,3,2568.73125,1400.2178134688038,1.0603055722609385
742,742,user_775,Valencia,Online,Mastercard,524.19,2024-05-29 03:03:55.870284579,Y,3,1975.8965,1743.5098024003341,-0.8326345501478678
746,746,user_830,Alicante,Physical Card,Mastercard,2005.4,2024-05-25 04:27:23.263685355,Y,4,2355.196,1330.787211383983,-0.2628489340803188
782,782,user_1122,Murcia,Online,Visa,1654.76,2024-05-19 05:08:09.779710693,Y,5,2044.6699999999998,1479.0193827350208,-0.2636273767277975
790,790,user_165,Guipúzcoa,Online,Visa,344.95,2024-05-08 04:11:43.866880968,Y,4,2668.215,1423.2374393872335,-1.6323804698394306
791,791,user_469,Tarragona,Physical Card,Mastercard,4983.56,2024-05-06 13:38:54.537203365,Y,13,1896.5833333333333,1545.7899547557583,1.9970220773975875
794,794,user_546,La Coruña,Online,Visa,3546.78,2024-05-09 05:54:18.958116668,Y,5,2238.472,1701.072019792225,0.7691079418023707
796,796,user_80,Cuenca,Contactless,Visa,2114.44,2024-05-14 02:57:11.521225300,Y,2,1879.716666666667,1252.1157643897523,0.18746136739819022
804,804,user_569,La Coruña,Contactless,Mastercard,1759.31,2024-05-12 05:09:39.635057199,Y,5,2442.3770588235293,1290.2984099364605,-0.529386887221822
805,805,user_1702,Málaga,Physical Card,Mastercard,4990.68,2024-05-21 18:45:18.124231823,Y,18,2758.16,1532.8414445846524,1.4564585318900591
808,808,user_625,Tarragona,Online,Visa,4104.37,2024-05-28 02:11:59.523494374,Y,2,1991.3517647058825,1356.1056950291304,1.5581515829035197
816,816,user_536,Pontevedra,Online,Mastercard,4552.72,2024-05-30 03:41:05.916611515,Y,3,2643.5744999999997,1545.422085977178,1.2353553875819228
818,818,user_804,Salamanca,Online,Mastercard,1248.25,2024-05-21 03:37:53.952916706,Y,3,2246.4700000000003,1092.120220171613,-0.914020253047913
823,823,user_287,Madrid,Physical Card,Visa,2878.09,2024-05-01 05:18:38.767136239,Y,5,2250.1505,1518.143826840336,0.413623194916196
829,829,user_966,Sevilla,Online,Mastercard,2127.34,2024-05-11 02:32:12.570672213,Y,2,2363.443076923077,1574.3688174015676,-0.14996681483615484
835,835,user_1367,Lugo,Contactless,Visa,3736.86,2024-05-06 03:24:49.760801739,Y,3,1765.6425,1626.006974837439,1.2123056853412784
837,837,user_1169,Alicante,Contactless,Visa,3696.75,2024-05-27 02:57:07.436891368,Y,2,3062.2016666666664,1433.8895605772268,0.44253640641465425
842,842,user_1147,Cádiz,Online,Mastercard,2099.3,2024-05-29 05:31:38.874917273,Y,5,2802.6776923076923,1426.276557673592,-0.49315659611974244
846,846,user_1880,Madrid,Online,Mastercard,1281.05,2024-05-22 03:30:45.097853833,Y,3,2526.2146153846156,1037.931262019274,-1.199659997678626
848,848,user_1270,Barcelona,Physical Card,Mastercard,3577.13,2024-05-13 05:08:50.623050014,Y,5,1910.6719999999998,1517.9588912050851,1.0978281491384947
852,852,user_863,Málaga,Contactless,Visa,4297.22,2024-05-17 05:43:33.633355393,Y,5,3129.125,1338.0909887420332,0.8729563309428983
857,857,user_785,Alicante,Online,Mastercard,1599.96,2024-05-10 05:21:50.730831048,Y,5,2979.1742105263156,1520.5237671068617,-0.90706521026671
858,858,user_1958,Teruel,Online,Mastercard,3890.23,2024-05-21 03:08:21.351990167,Y,3,2027.0184210526315,1640.618620291556,1.1356762357215324
859,859,user_1628,Madrid,Online,Mastercard,2065.84,2024-05-04 03:49:40.542686962,Y,3,2460.516842105263,1544.1525194928577,-0.2555944682426097
860,860,user_1693,Guipúzcoa,Online,American Express,251.9,2024-05-06 04:02:48.819135860,Y,4,1771.12,1225.971088248006,-1.2391972490730314
870,870,user_787,Barcelona,Contactless,Mastercard,1991.71,2024-05-16 03:58:51.927767798,Y,3,2551.293333333333,1493.880115613365,-0.3745838287054088
874,874,user_18,Sevilla,Contactless,Visa,1730.75,2024-05-28 04:41:49.142478963,Y,4,2325.6153846153848,1371.6724888593449,-0.4336788770255666
875,875,user_1742,Madrid,Contactless,Visa,368.97,2024-05-24 03:12:14.159024298,Y,3,1681.218,851.7228337728184,-1.540698391502814
884,884,user_669,Cantabria,Physical Card,Mastercard,3553.94,2024-05-12 02:06:04.186442280,Y,2,2127.279,1578.7356535028441,0.9036731366866733
886,886,user_1350,Valladolid,Contactless,Mastercard,1052.41,2024-05-26 02:13:37.547508745,Y,2,2202.8881818181817,1489.1903196691699,-0.7725528205647787
887,887,user_603,Vizcaya,Contactless,Mastercard,1811.97,2024-05-08 05:53:01.355771958,Y,5,2712.7549999999997,1219.788347123964,-0.7384764759590338
890,890,user_196,La Coruña,Online,Visa,2189.89,2024-05-07 03:26:07.363146449,Y,3,1992.33125,1193.3886743157066,0.1655443479998508
900,900,user_761,Madrid,Contactless,Visa,3920.09,2024-05-11 05:35:48.019287132,Y,5,2522.877,1603.318746801632,0.8714505476763243
905,905,user_522,Barcelona,Online,Mastercard,3777.63,2024-05-20 02:45:57.606126500,Y,2,2397.3975,1193.79408655206,1.1561730080154906
915,915,user_1452,Almería,Online,Mastercard,2843.88,2024-05-17 04:04:22.758816299,Y,4,2617.523076923077,1056.4878214819814,0.21425417167554509
916,916,user_26,Alicante,Online,Visa,221.67,2024-05-13 04:39:18.022123475,Y,4,2854.63875,1458.0604377957038,-1.805802202534569
918,918,user_1611,Valladolid,Physical Card,Visa,3397.16,2024-05-09 04:29:54.384040843,Y,4,2693.9773684210527,1284.4797160538583,0.5474454931365087
921,921,user_1272,Asturias,Contactless,Visa,1901.47,2024-05-11 02:13:13.041505152,Y,2,2764.838888888889,1516.5236549730473,-0.5693078944450974
926,926,user_1842,Almería,Physical Card,Mastercard,2018.74,2024-05-19 02:25:40.474614730,Y,2,2601.224,1630.2012793627018,-0.357308025318022
939,939,user_746,Murcia,Online,Visa,2936.34,2024-05-18 05:57:30.921811477,Y,5,3024.7446153846154,1253.6319761571135,-0.07051879424423342
940,940,user_327,Baleares,Online,Mastercard,3607.51,2024-05-23 03:51:02.229365604,Y,3,2928.296,1486.7080474450179,0.45685768713451413
954,954,user_388,Madrid,Contactless,Visa,1910.96,2024-05-09 04:25:41.155337052,Y,4,2358.4378947368423,1366.0459304689857,-0.32757163193130395
959,959,user_678,Asturias,Online,Mastercard,4491.23,2024-05-03 04:55:54.599602911,Y,4,2697.781176470588,1467.6186920649825,1.2220127974835047
963,963,user_1868,La Coruña,Online,Visa,3157.67,2024-05-04 05:01:25.430651413,Y,5,3449.5499999999997,1043.0621958125666,-0.2798299096369984
966,966,user_1288,Soria,Online,American Express,1546.81,2024-05-28 05:57:47.259147206,Y,5,2508.7317647058826,1185.1054553247325,-0.8116760921012764
972,972,user_1183,Barcelona,Physical Card,Visa,949.23,2024-05-04 04:08:40.071854022,Y,4,2245.7627272727273,1417.6660628800485,-0.9145543941700673
975,975,user_798,Madrid,Online,Mastercard,3207.37,2024-05-27 05:45:56.585043018,Y,5,2837.362666666667,1159.369346692211,0.3191453477608309
982,982,user_459,Madrid,Physical Card,Mastercard,1815.4,2024-05-18 04:30:59.733383757,Y,4,2864.4366666666665,1737.2118384449645,-0.6038622598874837
994,994,user_637,Alicante,Physical Card,American Express,2207.77,2024-05-13 03:27:33.134159024,Y,3,2577.3878571428572,1324.8131902805046,-0.2789962085632598
997,997,user_421,Málaga,Contactless,Visa,4607.54,2024-05-13 04:18:11.878604519,Y,4,2548.73625,1546.2930909753863,1.331444706062372
1002,1002,user_1545,Álava,Online,Visa,2552.06,2024-05-26 03:33:48.892880779,Y,3,2524.02,1040.6080640663902,0.026945783881808384
1009,1009,user_1484,Madrid,Physical Card,Mastercard,3862.24,2024-05-16 05:19:03.273139831,Y,5,2471.8364705882354,1232.5788793873455,1.1280442596119007
1013,1013,user_249,Sevilla,Online,Visa,4664.01,2024-05-11 02:32:12.570672213,Y,2,2844.782,1438.5426412429651,1.264632655190607
1014,1014,user_1351,Orense,Physical Card,Mastercard,3872.96,2024-05-21 02:55:41.665878793,Y,2,2735.8893749999997,1613.663026625938,0.7046518425705888
1022,1022,user_1135,Madrid,Physical Card,Mastercard,3673.05,2024-05-19 03:05:46.147300746,Y,3,2845.6647368421054,1511.2141547862486,0.5474970311371409
1033,1033,user_1491,La Rioja,Online,Mastercard,2141.62,2024-05-01 05:12:18.924080552,Y,5,2162.0299999999997,1423.432942554724,-0.014338574996984932
1039,1039,user_441,Barcelona,Contactless,Visa,2894.54,2024-05-07 05:49:37.139075352,Y,5,2596.0222222222224,1375.8463621800886,0.21697028533386764
1042,1042,user_1446,Cáceres,Online,Mastercard,1646.02,2024-05-11 05:54:47.548454193,Y,5,2276.2176923076922,1317.4284630303705,-0.4783543926613679
1045,1045,user_1542,Madrid,Physical Card,Mastercard,3995.93,2024-05-19 04:34:23.950080363,Y,4,2825.3334999999997,1271.147070228407,0.9208977681785165
1048,1048,user_610,Cádiz,Online,Visa,1702.84,2024-05-16 04:32:37.757398128,Y,4,2681.9917647058824,1379.6444361511922,-0.7097131253886196
1050,1050,user_1165,Barcelona,Online,Visa,2964.42,2024-05-31 02:45:24.931455044,Y,2,1998.847777777778,1340.189910324633,0.7204741766697321
1053,1053,user_1824,Zaragoza,Online,Mastercard,3210.51,2024-05-03 03:50:29.554694147,Y,3,3210.51,,
